type,law_document_id,detail
document_shared_across_municipalities,467e7c0139446cfa3c208e363204413504453aedb3c24a6fa53915579cf47213,"4 municipalities, 4 references"
document_shared_across_municipalities,9a9bd8f02a29cdf015f52a988ab7b9f6c7c06d8d9de51beb0ee71e1af0db85f3,"2 municipalities, 2 references"
metadata_or_hash_conflict,a28fa39fa3902faa4d4d21c3dd15e410bdb2e34253cb329e520bb32bcf649875,document_version_id=21e570a0392d75932f97b01a017f443b7660d444cb7c46312933b038f9523381
metadata_or_hash_conflict,403cf63edb3e3475eb8e3db2ea427f00d900a86a549521e7a075b238b9585ba3,document_version_id=f0a657d4a1f0eaa2ba9727141b9ee84cb86d93ca52a89da8d2876baf4216afff
metadata_or_hash_conflict,437660e63bd968ec2923894a1701f153173fe3eac68b3bba36c4124990a85ecd,document_version_id=505c6541cd459be925bd645db358effde7ae333c0ee775943a7c5375327678cd
metadata_or_hash_conflict,a5e31eee74c77a99e63884d612e67836838fbd85196b36f9b8f4eec7fa1ba29f,document_version_id=6ada717bc28b1aea1bcb19552c5603ad716475115ab1da0976fa799428d05386
metadata_or_hash_conflict,82646ae3b8c441048f375a5f71ab15639078b815c17e98b8bd9898534005620a,document_version_id=d0a463efe771a0a2362adbfa17875de873462a07d26df725c11effc36b379b0b
metadata_or_hash_conflict,f19b24414f7ccf20087852abcd8e13432654177cc1ab528da3703e439563b66d,document_version_id=3039e5d990966ffa004e1db694e6554a2823f1c0766c5d9889daca4dd2953f70
metadata_or_hash_conflict,ee84f499a275f961ec97d0dcd9fb147ac8a5fd60914278008d8eeb43ac27a06f,document_version_id=925546cc6b7a1e704bab7f8c5ffee1dbf852da57dad5576ea0dc13a829d60132
metadata_or_hash_conflict,8ebf4070b91f92dc9431296fdc4e7525d3ff8432688105189435ae5c4731579e,document_version_id=5774c5dbe9fc7dda22168475e76cf7e9574ce0f0e9f76b9bad8834ffea51667b
metadata_or_hash_conflict,84c936f74dd8e9141e90c6213d5867ad832c1102a427381421b96fa96664a7e1,document_version_id=7be700ab20987573ed4f630ce4ad741cdf77e2db32bd0627e4146172dcc846af
metadata_or_hash_conflict,96bfbc10e34206cde32e7f5006391eacab721abb03ea1878866414c2cc6b32be,document_version_id=69db9d69ce4295b2326b8499cce69dedaefbae49a788287e2211727982e88e80
metadata_or_hash_conflict,d1f632cac68ff34b5259c2f1f6bfd994567665d9fb8339e760d8740e433fc108,document_version_id=bae0c84e9cbf37b756a5c9aab568213a783a1ddd8ab6ec9e4ddd253dc7218263
metadata_or_hash_conflict,693491da7e32fb62c7c13f0f0ca60328c7758d9eef662832bbac3ead61621b6a,document_version_id=b56f295a43dcf29fb267a814acc5240a5a2cc4b591a121f221fab1b3a9c33ff4
